Quarter,Minute,Second,Down,ToGo,YardLine,PointDiff,PlayType
1,15,0,1,10,20,0,0
1,12,46,1,10,29,0,0
1,7,54,1,10,50,0,0
1,7,14,1,10,64,0,0
1,4,17,1,10,26,-3,0
1,3,11,1,10,37,-3,0
2,13,24,1,10,31,0,0
2,12,42,1,10,43,0,0
2,11,41,1,10,55,0,0
2,10,20,1,10,3,0,0
2,9,10,1,10,30,0,0
2,7,42,1,10,22,0,0
2,5,12,1,20,23,0,0
2,3,29,1,10,45,0,0
2,2,14,1,10,80,0,0
3,15,0,1,10,11,0,0
3,13,31,1,10,32,0,0
3,9,9,1,10,82,0,0
3,2,51,1,10,44,10,0
3,0,24,1,10,79,10,0
4,12,40,1,10,6,17,0
4,11,40,1,10,49,17,0
4,10,12,1,10,69,17,0
4,6,31,1,10,27,31,0
4,4,20,1,10,41,31,0
4,2,7,1,10,53,31,0
4,1,45,1,5,25,-38,0
4,1,3,1,10,34,-38,0
1,14,24,2,10,20,0,0
1,12,16,2,4,35,0,0
1,11,24,2,10,55,0,0
1,10,30,2,10,9,0,0
1,5,10,2,15,79,0,0
1,2,19,2,10,57,-3,0
1,0,46,2,10,72,-3,0
2,12,12,2,3,50,0,0
3,8,35,2,6,86,0,0
4,14,18,2,11,19,-17,0
4,10,56,2,1,58,17,0
4,9,25,2,3,76,17,0
4,5,49,2,6,31,31,0
4,3,36,2,5,46,31,0
4,2,0,2,9,54,31,0
1,9,45,3,5,14,0,0
2,6,20,3,1,31,0,0
4,5,6,3,3,34,31,0
4,2,52,3,1,50,31,0
1,11,29,1,10,55,0,1
1,10,34,1,10,9,0,1
1,9,13,1,10,24,0,1
1,8,32,1,10,39,0,1
1,5,17,1,15,79,0,1
1,2,25,1,10,57,-3,1
1,0,50,1,10,72,-3,1
2,14,0,1,15,83,-3,1
2,14,2,1,10,20,0,1
2,1,55,1,10,23,0,1
2,0,57,1,20,33,0,1
2,0,35,1,10,58,0,1
3,7,26,1,7,93,0,1
3,5,16,1,20,15,-3,1
3,4,58,1,13,3,-10,1
3,3,31,1,10,33,10,1
3,1,20,1,10,69,10,1
4,15,0,1,10,90,10,1
4,14,55,1,10,20,-17,1
4,13,40,1,10,46,-17,1
4,8,37,1,10,20,-24,1
4,8,5,1,10,31,-24,1
1,6,33,2,1,73,0,1
1,3,39,2,12,24,-3,1
2,14,54,2,15,83,-3,1
2,12,53,2,8,33,0,1
2,9,41,2,9,4,0,1
2,8,37,2,12,28,0,1
2,7,2,2,9,23,0,1
2,4,35,2,18,25,0,1
2,2,53,2,9,46,0,1
2,1,32,2,2,31,0,1
2,0,48,2,5,48,0,1
2,0,30,2,10,58,0,1
3,14,12,2,7,14,0,1
3,12,49,2,10,32,0,1
3,11,2,2,15,41,0,1
3,7,22,2,7,93,0,1
3,4,58,2,13,3,-10,1
3,2,13,2,6,48,10,1
3,1,16,2,10,69,10,1
4,13,4,2,7,49,-17,1
4,11,56,2,6,10,17,1
4,8,12,2,4,26,-24,1
4,7,36,2,15,15,-31,1
4,1,13,2,1,29,-38,1
4,0,38,2,7,37,-38,1
1,13,40,3,7,23,0,1
1,11,35,3,1,38,0,1
1,10,44,3,8,57,0,1
1,4,31,3,8,86,0,1
1,3,37,3,12,24,-3,1
1,1,36,3,14,53,-3,1
1,0,8,3,8,74,-3,1
2,14,49,3,15,83,-3,1
2,10,36,3,5,60,0,1
2,9,30,3,4,9,0,1
2,7,55,3,5,35,0,1
2,4,3,3,7,36,0,1
2,0,43,3,5,48,0,1
2,0,26,3,10,58,0,1
3,14,12,3,7,14,0,1
3,12,6,3,3,39,0,1
3,10,22,3,9,47,0,1
3,5,53,3,13,87,0,1
3,2,8,3,6,48,10,1
3,1,9,3,15,64,10,1
4,12,59,3,7,49,-17,1
4,8,44,3,3,76,17,1
4,7,3,3,12,18,-31,1
4,0,30,3,7,37,-38,1
3,9,34,4,1,55,0,1
